LABEL	counts	Grouping
collection date	43	collection date
geographic location (country and/or sea)	43	Place
geographic location (region and locality)	33	Place
geographic location (latitude)	31	Place
geographic location (longitude)	31	Place
amount or size of sample collected	28	sample size
broad-scale environmental context	26	Description
local environmental context	26	Description
project name	25	--
nucleic acid extraction	25	sample process
environmental medium	25	
sample material processing	23	sample process
adapters	23	
nucleic acid amplification	23	sample process
source material identifiers	23	identifiers
multiplex identifiers	22	identifiers
reference for biomaterial	22	identifiers/citation
experimental factor	22	
relevant electronic resources	22	reference/citation
relevant standard operating procedures	22	reference/citation
library screening strategy	22	
library vector	22	
library size	22	
library reads sequenced	22	
sample storage temperature	21	sample storage
relationship to oxygen	21	
sequencing method	21	sample processing
annotation source	21	
isolation and growth condition	20	sample processing
sample storage duration	20	sample storage
pcr primers	19	
sample storage location	19	sample storage
host scientific name	19	organism info
estimated size	19	
ploidy	19	
sample volume or weight for DNA extraction	19	
known pathogenicity	19	
target gene	18	
target subfragment	18	
sample collection device	18	sample collection
sample collection method	18	sample collection
propagation	18	
observed biotic relationship	18	organism
extrachromosomal elements	18	
host disease status	18	organism
number of replicons	18	
library construction method	18	
perturbation	18	
trophic level	17	
sequence quality check	17	
chimera check software	17	
encoded traits	17	
pcr conditions	17	
subspecific genetic lineage	17	
depth	17	Place
chemical administration	16	
altitude	16	Place
organism count	16	
negative control type	15	
positive control type	15	
elevation	15	Place
oxygenation status of sample	15	
temperature	14	
salinity	13	
host sex	11	organism
host subject id	11	organism
host age	11	organism
collected_by	10	collection
isolation_source	10	
strain	10	
pH	9	
isolate	8	
sample collection device or method	8	collection
host total mass	8	
organic matter	7	
total nitrogen	7	
host diet	7	organism
phosphate	7	
sodium	7	
host genotype	7	organism
host height	7	organism
nitrate	7	
host phenotype	7	organism
host body site	7	organism
nitrogen	6	
chloride	6	
dissolved oxygen	6	
host body product	6	organism
chlorophyll	6	
dissolved inorganic carbon	6	
dissolved organic nitrogen	6	
alkalinity	6	
nitrite	6	
Depth	6	
dissolved hydrogen	6	
dissolved carbon dioxide	6	
diether lipids	6	
Further Details	6	
host body temperature	6	organism
sample storage conditions	6	sample storage
organic nitrogen	6	
host last meal	6	
sulfate	6	
organic carbon	6	
calcium	6	
bromide	6	
ammonium	6	
silicate	6	
host common name	6	organism
phospholipid fatty acid	6	
sulfide	6	
biomass	6	
potassium	6	
host family relationship	6	organism
sample derived from	6	
phaeopigments	5	
medical history performed	5	
ethnicity	5	
pressure	5	
Salinity	5	
Temperature	5	
taxonomic classification	5	
tRNA extraction software	5	
magnesium	5	
light intensity	5	
metagenomic source	5	
density	5	
Longitude Start	5	
IHMC medication code	5	
