Timestamp	What is your domain of expertise or perspective	"In your domain of expertise or your perspective, how are Samples and Specimens related?"	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [name: Name of the sample]	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [description: Description of the sample and contex in which it was collected]	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [identifier: An identifier for the sample]	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [url: A url for the metadata record for the sample]	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [collector: The Person or Organization who collected the Sample.]	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [custodian: The Person or Organization who is responsible for the Sample.]	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [collectionDate: When the sample was collected]	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [collectionMethod: How the sample was collected]	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [locationCreated: The location where the sample was originally created]	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [taxonomicRange: The organism from which the sample was derived]	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [sampleStorage: Storage condition of the sample]	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [itemLocation: The geographic location from which the sample was obtained]	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [alternateName: alternative names for the sample]	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [sampleSize: the size of the sample ]	"How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [citation: A reference to a project, study, or paper in which the sample was used]"	"How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [sampleProcess: If the sample has been processed, the processing technique that was applied]"	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [sampleType: domain-specific classification of the sample mapped to domain-specific ontologies]	"How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [isControl: Indicates whether the sample is being used as a normal control, may be in combination with another sample.]"	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [samplingAge: The age of the organism / object when the sample was taken]	How would you rate the importance of the following information for a metadata record of a Sample of relevance to biological research [gender: gender of the organism from which the sample was taken]	"What other metadata is needed to make it easier to work with Sample data in your research, and how important is this metadata?"
11/2/2023 8:08	Genome Assembly	A Sample is a part/piece of a Specimen	Should have (recommended)	Must have (required)	Must have (required)	Must have (required)	Should have (recommended)	Should have (recommended)	Must have (required)	Must have (required)	Must have (required)	Must have (required)	Should have (recommended)	Must have (required)	Could have (optional)	Should have (recommended)	Must have (required)	Must have (required)	Should have (recommended)	Could have (optional)	Must have (required)	Must have (required)	"Purpose of sample, duration of storage (could be inferred from sampling date to sequencing date for example), permits collected or required for sampling (very important in some species/countries)"
11/2/2023 8:10	ontologies	A Sample is a part/piece of a Specimen	Should have (recommended)	Should have (recommended)	Must have (required)	Should have (recommended)	Could have (optional)	Could have (optional)	Should have (recommended)	Must have (required)	Should have (recommended)	Must have (required)	Should have (recommended)	Could have (optional)	Should have (recommended)	Should have (recommended)	Should have (recommended)	Must have (required)	Must have (required)	Must have (required)	Must have (required)	Must have (required)	"information about replicates,"
11/2/2023 8:13	"Plant Sciences (genomics, phenomics, transcriptomics)"	Other	Must have (required)	Should have (recommended)	Must have (required)	Should have (recommended)	Should have (recommended)	Could have (optional)	Should have (recommended)	Should have (recommended)	Should have (recommended)	Should have (recommended)	Could have (optional)	Should have (recommended)	Could have (optional)	not recommended	Should have (recommended)	Could have (optional)	Should have (recommended)	Could have (optional)	Could have (optional)	Could have (optional)	"Sample data is essential in Plant Genomics and Phenomics. For the use case of phenomics the (plant) anatomical part is very important and would be needed to model that type in Bioschemas. Apart from that instead of the samplingAge a more general developmentalStage property might be maybe a good addition. Another important metadata field often neglected is the ploidy, in plant science the majority of research objects is not diploid but polyploid so the ability to store this information on the sample level would be very valuable (going down the rabbit hole - zygostiy would also be interesting metadata field to be recorded)."
11/2/2023 8:22	Developer on an infrastructure on Specimen data. We want to link from specimen to sequence data.	A Sample is a part/piece of a Specimen	Should have (recommended)	Could have (optional)	Must have (required)	Should have (recommended)	Should have (recommended)	Could have (optional)	Could have (optional)	Could have (optional)	Could have (optional)	Should have (recommended)	Could have (optional)	Could have (optional)	Should have (recommended)	Could have (optional)	Should have (recommended)	Could have (optional)	Could have (optional)	Could have (optional)	Could have (optional)	Could have (optional)	"Unique identifiers for both specimen, samples, sequences etc... It is really difficult to map on free text fields which we currently do. We need controlled identifiers that users are enforced to add and which are validated. The tendency to have almost all information as free text fields creates a technical depth which will take years to solve."
11/2/2023 8:28	Evolutionary genomics	A Sample is a part/piece of a Specimen	Must have (required)	"Must have (required), Should have (recommended)"	Must have (required)	Could have (optional)	Should have (recommended)	Could have (optional)	Must have (required)	Must have (required)	Must have (required)	Must have (required)	Must have (required)	Must have (required)	Could have (optional)	Could have (optional)	Should have (recommended)	Must have (required)	Could have (optional)	Must have (required)	Could have (optional)	"Should have (recommended), not recommended"	Preservation method (different from processing?)
11/2/2023 10:26	Research Data management and ontologies	A Sample is a part/piece of a Specimen	Should have (recommended)	Must have (required)	Must have (required)	Must have (required)	Could have (optional)	not recommended	Should have (recommended)	Must have (required)	not recommended	Must have (required)	Must have (required)	Must have (required)	Could have (optional)	Should have (recommended)	Could have (optional)	Must have (required)	Must have (required)	"Must have (required), Should have (recommended)"	Must have (required)	Must have (required)	"related to plants, everything from the plant growth before the sample was obtained is crucial (watering, day-night hours, sampling time (not just date), sampling site (e.g. which leaf), ecotype, genotype, cultivar)"
11/2/2023 13:24	"Bioinformatics, Plants, Chemistry"	Other	Should have (recommended)	Should have (recommended)	Must have (required)	Could have (optional)	Could have (optional)	Could have (optional)	Could have (optional)	Could have (optional)	Could have (optional)	Should have (recommended)	Could have (optional)	Could have (optional)	Could have (optional)	not recommended	Could have (optional)	Could have (optional)	Should have (recommended)	Should have (recommended)	Could have (optional)	Could have (optional)	"Maybe hasBioChemEntity, if the sample consists of a (purified) protein, mRNA or molecularEntity/ChemicalSubstance ?"
11/2/2023 16:10	"Sr software engineer and researcher in life science data applications, currently working in the plant biology domain, past experience in biomedical data."	A Specimen is a part/piece of a Sample	Must have (required)	Should have (recommended)	Must have (required)	Should have (recommended)	Should have (recommended)	Should have (recommended)	Must have (required)	Should have (recommended)	Should have (recommended)	Must have (required)	Could have (optional)	Should have (recommended)	Could have (optional)	Could have (optional)	Could have (optional)	Should have (recommended)	Should have (recommended)	Should have (recommended)	Could have (optional)	Could have (optional)	"Both in the biomedical (eg, ISA-Tab) and plant biology field (eg, MIAPPE), there is a need to associate a sample to the factor value that it was used for (eg, treatment, growth conditions, soil from which the sample was collected). In preliminary work done in past biohackathons, we have defined properties and types for that, with the plan to propose them to Bioschema in future (https://github.com/Rothamsted/agri-schemas/tree/master/doc/miappe-use-case)."
11/3/2023 1:32	biocuration / annotation 	They are pretty much the same	Must have (required)	Must have (required)	Must have (required)	Could have (optional)	Should have (recommended)	Should have (recommended)	Must have (required)	Should have (recommended)	Could have (optional)	Must have (required)	Could have (optional)	Must have (required)	Should have (recommended)	Could have (optional)	Should have (recommended)	Must have (required)	Should have (recommended)	"Must have (required), Should have (recommended)"	Must have (required)	Must have (required)	the strain /genotype 
11/3/2023 2:49	Computational virologist	A Specimen is a part/piece of a Sample	Could have (optional)	Should have (recommended)	Must have (required)	not recommended	Could have (optional)	not recommended	Must have (required)	Must have (required)	Could have (optional)	Must have (required)	Could have (optional)	Should have (recommended)	Could have (optional)	Must have (required)	Could have (optional)	Must have (required)	Must have (required)	Must have (required)	Could have (optional)	"Must have (required), Could have (optional)"	"Sequencing platform, primer scheme, nucleus acid extraction method, library kit "
